stop_id,stop_name,stop_lat,stop_lon
174,parada174,-7.234024520406302,-34.807601985199049
175,parada175,-7.182573075435813,-34.826166643808833
176,parada176,-7.182489013230757,-34.828674195625737
177,parada177,-7.180172960265138,-34.829350731566109
178,parada178,-7.161059987022015,-34.896226704625022
179,parada179,-7.160009478448651,-34.896319127199938
180,parada180,-7.157100906165641,-34.896036265614448
181,parada181,-7.158136344324659,-34.896222411730548
182,parada182,-7.153995741564492,-34.895090771666837
183,parada183,-7.151492250103445,-34.894332901949937
184,parada184,-7.149982655541765,-34.893579138079502
185,parada185,-7.149425281462531,-34.893548446580652
186,parada186,-7.146573880809127,-34.892487480787523
187,parada187,-7.146347208661695,-34.892190535246897
188,parada188,-7.142958604475818,-34.890441158850443
189,parada189,-7.143167785873015,-34.890740552932471
190,parada190,-7.141262168135188,-34.889606575108090
191,parada191,-7.140209004531794,-34.889231429892682
192,parada192,-7.138654910289302,-34.888134799476191
193,parada193,-7.138475971391427,-34.888215330780803
194,parada194,-7.137079461675114,-34.886880848609053
195,parada195,-7.136926927675380,-34.886305060574948
196,parada196,-7.135572842385781,-34.884204955350278
197,parada197,-7.135234190200920,-34.882320160175112
198,parada198,-7.134839921248600,-34.878738606483239
199,parada199,-7.131184652413586,-34.878752440683343
200,parada200,-7.128749108873233,-34.878833519866077
201,parada201,-7.129715316485014,-34.883091928716077
202,parada202,-7.128191801963178,-34.884252088095323
203,parada203,-7.167385972193879,-34.865948538752157
204,parada204,-7.165580048751014,-34.866729343887222
205,parada205,-7.164031907354769,-34.867842072860853
206,parada206,-7.163957960796144,-34.867710362856251
207,parada207,-7.162157910772994,-34.869528308451109
208,parada208,-7.162382921456882,-34.869071045577023
209,parada209,-7.160714257279801,-34.870985371587459
210,parada210,-7.161086382453605,-34.870392436396003
211,parada211,-7.159765630172072,-34.872867386860293
212,parada212,-7.158033597806904,-34.874614916486053
213,parada213,-7.158279212139487,-34.872283724245051
214,parada214,-7.155790797015921,-34.872763178538598
215,parada215,-7.155373542473268,-34.875009063539579
216,parada216,-7.153262770351571,-34.873759946581821
217,parada217,-7.153742681276643,-34.872227811246340
218,parada218,-7.150297865722539,-34.874756103732018
219,parada219,-7.149730211120239,-34.873506996412402
220,parada220,-7.145899263609001,-34.874025656933348
221,parada221,-7.146987045812128,-34.874525668025690
222,parada222,-7.144172020139413,-34.875567988010218
223,parada223,-7.143359941080604,-34.874919416908959
224,parada224,-7.137528338274085,-34.880226274837327
225,parada225,-7.136031491705755,-34.879752328113547
226,parada226,-7.132888714528782,-34.880213267390388
